Metabolomic Feature,Retention Time,m/z,Cluster (if DA),Putative Chemical Class,Exact Match to Standard (* = isomer family),Adduct
C8-pos_Cluster_1641,10.038943,698.631280,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1668,10.874135,705.610053,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1675,8.008295,707.542407,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1682,8.395715,709.519986,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1701,7.512602,714.551894,1,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1704,11.432230,714.618678,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1719,8.641397,718.544314,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1721,10.139776,718.661556,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1732,9.137422,721.561425,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1733,10.689761,721.625268,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1734,10.859426,721.624573,1,Polyprenols,#N/A,#N/A
C8-pos_Cluster_1743,8.602848,724.538609,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1757,11.944988,731.215913,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1771,8.506288,735.564701,1,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1772,11.434087,735.551432,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1785,11.713284,739.561448,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1793,12.051223,741.580310,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1804,8.417527,750.583821,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1811,7.514790,756.560642,1,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1814,5.278934,757.390893,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1816,10.555938,758.581320,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1839,5.681855,767.439649,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1844,10.407810,768.592904,1,"1-alkyl,2-acylglycero-3-phosphocholines",#N/A,#N/A
C8-pos_Cluster_1845,7.589059,768.612076,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1852,10.727880,771.605104,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1855,8.697225,772.620078,1,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",#N/A,#N/A
C8-pos_Cluster_1860,10.832177,773.620489,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1867,7.845269,777.569522,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1868,9.208405,777.584967,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1876,10.826997,782.679874,1,3-hydroxysteroids,#N/A,#N/A
C8-pos_Cluster_1890,7.941976,789.576655,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1895,11.509016,789.680294,1,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1904,9.659754,793.610427,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1911,7.373251,796.523873,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1927,9.174958,800.660120,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1930,8.681349,801.616003,1,"1,2-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1931,9.666920,801.684404,1,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1934,10.457170,802.719211,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1940,8.029789,805.609479,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1942,9.518001,805.610834,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1954,9.722697,809.627027,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1956,8.819273,810.598474,1,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1960,9.222079,811.669768,1,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1961,9.902308,811.645160,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1966,9.719543,813.572280,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1972,9.999506,817.715581,1,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1979,8.549114,821.575152,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1985,9.667045,823.666038,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1996,7.520763,825.747831,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2001,8.067313,829.601108,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2023,9.869400,837.684426,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2051,7.826716,847.730349,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2061,9.362361,850.666946,1,"1-alkyl,2-acylglycero-3-phosphocholines",#N/A,#N/A
C8-pos_Cluster_2063,10.953250,850.781733,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2078,8.217873,855.616541,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2079,10.955328,855.736543,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2089,11.628423,858.640554,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2105,11.537093,863.691046,1,Ubiquinones,#N/A,#N/A
C8-pos_Cluster_2107,9.780922,864.696357,1,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_2143,9.456790,877.639025,1,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_2151,10.097748,880.730203,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2153,11.533940,880.719446,1,"1-alkyl,2-acylglycero-3-phosphocholines",#N/A,#N/A
C8-pos_Cluster_2155,11.629467,881.759396,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2165,9.977325,885.714240,1,"1-alkyl,2-acylglycero-3-phosphocholines",#N/A,#N/A
C8-pos_Cluster_2166,11.280341,885.681079,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2171,12.062128,886.672527,1,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_2173,9.047011,887.569122,1,Phosphatidylinositols,#N/A,#N/A
C8-pos_Cluster_2185,11.367834,891.720419,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2188,11.616670,892.737543,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2204,11.154756,897.750252,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2272,10.601323,921.753844,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2291,8.299922,927.600089,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2292,10.978220,927.627849,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2294,12.186875,927.742294,1,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2315,12.818313,938.766277,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2334,9.858700,950.761760,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2343,8.606825,956.664662,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2349,9.392154,960.734046,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2368,12.822894,975.841918,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2378,5.116144,984.586091,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2409,9.098395,1010.711171,1,#N/A,#N/A,#N/A
C8-pos_Cluster_2418,10.693570,1019.809099,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0041,4.814395,109.029395,1,Aryl alkyl ketones,#N/A,#N/A
HILIC-neg_Cluster_0050,1.459711,112.051483,1,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0053,6.277701,113.024471,1,Keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0065,2.479514,116.071622,1,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0071,4.171671,117.055675,1,Organic carbonic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0089,3.908772,127.076361,1,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_0127,8.666802,137.024111,1,Benzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0134,7.709597,138.019631,1,Pyridines and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0148,4.326844,141.016819,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0170,7.354584,147.029682,1,Hydroxy fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0177,1.773357,149.045209,1,Pentoses,#N/A,#N/A
HILIC-neg_Cluster_0198,7.201569,152.986134,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0205,3.822549,156.027700,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0209,7.441186,157.013961,1,Furanones,#N/A,#N/A
HILIC-neg_Cluster_0214,3.549432,157.123044,1,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_0219,7.148512,159.066016,1,Medium-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0224,3.760328,161.045265,1,Hydroxy fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0240,4.321599,163.060891,1,Fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_0251,3.621024,166.017544,1,Alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0252,5.051282,166.050682,1,M-methoxybenzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0256,4.623903,167.034802,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0282,4.311379,173.045293,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0287,5.674692,173.081804,1,Medium-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0293,4.119442,174.076948,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0301,3.900922,175.043016,1,Thiocarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0314,7.329860,177.040285,1,Aldehydes,#N/A,#N/A
HILIC-neg_Cluster_0323,7.694891,180.030224,1,Pyridines and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0325,8.676155,181.014068,1,Keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0333,7.407194,182.045812,1,Pyridines and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0334,6.102083,182.045706,1,Pyridines and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0353,3.684313,185.092948,1,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0354,3.892314,185.092778,1,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0375,7.083107,189.040234,1,Keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0378,7.088821,189.076669,1,Hydroxy acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0385,5.683886,190.071686,1,Tropane alkaloids,#N/A,#N/A
HILIC-neg_Cluster_0397,4.706849,193.034991,1,Glucuronic acid derivatives,#N/A,#N/A
HILIC-neg_Cluster_0408,3.544433,194.996742,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0415,9.759952,197.009127,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0416,3.953901,197.012244,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0423,4.162434,198.040479,1,Alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0426,4.111899,198.077164,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0437,6.962760,200.056177,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0447,3.694325,203.028125,1,Indoles and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0453,7.091917,203.092390,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0456,4.093276,204.087572,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0459,7.072189,205.071244,1,Hydroxy acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0464,5.332386,206.056851,1,Azoles,#N/A,#N/A
HILIC-neg_Cluster_0487,1.106757,210.113318,1,Phenols,#N/A,#N/A
HILIC-neg_Cluster_0493,6.557161,212.056720,1,Tyrosine and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0511,3.481642,212.128908,1,Azoles,#N/A,#N/A
HILIC-neg_Cluster_0519,3.396521,213.185837,1,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_0524,3.939565,215.053866,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0535,3.446937,216.032979,1,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0540,4.698922,217.002741,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0542,3.039856,217.002753,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0560,1.433887,221.066214,1,O-glucuronides,#N/A,#N/A
HILIC-neg_Cluster_0570,7.183995,223.045681,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0571,1.724903,223.061018,1,Phenols,#N/A,#N/A
HILIC-neg_Cluster_0578,4.074689,224.092533,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0585,9.949310,225.040309,1,Dicarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0589,3.597637,225.111252,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0614,4.276367,228.033380,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0615,4.727133,228.033645,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0624,3.972864,229.144271,1,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_0635,3.870287,231.063545,1,Alkyl-phenylketones,#N/A,#N/A
HILIC-neg_Cluster_0636,2.121033,231.098182,1,Glutamine and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0644,1.130735,232.118726,1,Acyl carnitines,#N/A,#N/A
HILIC-neg_Cluster_0646,3.864826,233.066390,1,Tricarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0650,7.000063,233.102753,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0674,3.701131,238.071915,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0684,3.459088,239.201545,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0688,4.813499,240.087213,1,Anisoles,#N/A,#N/A
HILIC-neg_Cluster_0704,7.208026,243.050717,1,Benzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0711,7.053485,243.123306,1,Fatty acids and conjugates,#N/A,#N/A
HILIC-neg_Cluster_0713,3.509897,243.196093,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0724,7.369800,247.045622,1,Tricarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0725,8.921883,247.056690,1,Peptidomimetics,#N/A,#N/A
HILIC-neg_Cluster_0730,7.081076,247.118484,1,Fatty acyl glycosides of mono- and disaccharides,#N/A,#N/A
HILIC-neg_Cluster_0759,8.641543,254.066779,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0766,7.042035,255.087060,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0769,7.078289,255.159832,1,Monoterpenoids,#N/A,#N/A
HILIC-neg_Cluster_0776,6.911650,257.077668,1,Pyrimidine nucleosides,#N/A,#N/A
HILIC-neg_Cluster_0804,7.028832,261.072412,1,Peptidomimetics,#N/A,#N/A
HILIC-neg_Cluster_0808,6.968862,261.134068,1,Fatty acids and conjugates,#N/A,#N/A
HILIC-neg_Cluster_0810,6.911195,262.092902,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0816,5.968198,264.051321,1,Cinnamic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0823,5.719869,267.050967,1,p-Hydroxybenzoic acid alkyl esters,#N/A,#N/A
HILIC-neg_Cluster_0847,6.815247,271.155097,1,Tetrahydrofurans,#N/A,#N/A
HILIC-neg_Cluster_0870,2.412089,275.092214,1,Coumarins and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0874,6.877247,276.108521,1,Proline and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0877,8.890768,277.071477,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0894,3.275854,279.232813,1,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0895,14.802027,279.232723,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0908,7.393307,282.028541,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0920,9.045234,284.023113,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0926,4.729831,285.113077,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0932,3.674845,286.101285,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0944,3.801405,289.090627,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0949,6.801524,290.124133,1,Fatty acyl thioesters,#N/A,#N/A
HILIC-neg_Cluster_0955,1.478659,292.155405,1,Phenylpropanes,#N/A,#N/A
HILIC-neg_Cluster_0965,1.085502,293.248516,1,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0981,3.225243,297.243057,1,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0987,6.739339,299.186185,1,Secondary alcohols,#N/A,#N/A
HILIC-neg_Cluster_0996,7.085273,301.092712,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0998,1.466972,301.144278,1,Stilbenes,#N/A,#N/A
HILIC-neg_Cluster_1000,7.096085,301.165460,1,Triacylglycerols,#N/A,#N/A
HILIC-neg_Cluster_1010,4.324628,305.022685,1,Flavonoids,#N/A,#N/A
HILIC-neg_Cluster_1016,3.899405,305.150951,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1020,4.563334,306.094543,1,Naphthalenes,#N/A,#N/A
HILIC-neg_Cluster_1023,7.774004,307.082229,1,o-Hydroxybenzoic acid esters,#N/A,#N/A
HILIC-neg_Cluster_1024,3.206577,307.263692,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1034,7.005257,311.223029,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1039,6.898513,312.109039,1,Phenolic glycosides,#N/A,#N/A
HILIC-neg_Cluster_1042,1.130491,313.119070,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1046,6.994019,313.238201,1,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_1056,3.609835,315.144713,1,Hexoses,#N/A,#N/A
HILIC-neg_Cluster_1065,3.608539,316.187478,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1069,2.012974,317.139458,1,Macrolides and analogues,#N/A,#N/A
HILIC-neg_Cluster_1075,2.241645,319.118465,1,Phenols,#N/A,#N/A
HILIC-neg_Cluster_1076,3.868976,319.166154,1,Phenethylamines,#N/A,#N/A
HILIC-neg_Cluster_1080,1.067457,320.257859,1,Organonitrogen compounds,#N/A,#N/A
HILIC-neg_Cluster_1083,6.901295,321.100999,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1091,3.861872,323.160650,1,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_1102,10.485592,327.087177,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1105,6.917283,327.181178,1,Benzopyrazoles,#N/A,#N/A
HILIC-neg_Cluster_1110,3.049950,327.253762,1,Long-chain fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_1118,2.220146,329.102644,1,Phenylbenzodioxanes,#N/A,#N/A
HILIC-neg_Cluster_1119,2.427793,329.102676,1,Phenylbenzodioxanes,#N/A,#N/A
HILIC-neg_Cluster_1121,9.063581,329.102723,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1123,1.721936,329.175799,1,Biphenols,#N/A,#N/A
HILIC-neg_Cluster_1133,5.625532,331.118805,1,Flavonoids,#N/A,#N/A
HILIC-neg_Cluster_1136,3.673381,331.248620,1,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_1146,2.056504,333.097520,1,Coumarins and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1155,4.131222,335.062477,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1158,3.568111,335.197268,1,Alkyl-phenylketones,#N/A,#N/A
HILIC-neg_Cluster_1169,2.422490,341.108468,1,O-glycosyl compounds,#N/A,#N/A
HILIC-neg_Cluster_1171,2.767226,341.139295,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1173,3.158111,341.211961,1,Androgens and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1175,1.081635,341.305573,1,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_1182,6.990077,343.103341,1,Phenolic glycosides,#N/A,#N/A
HILIC-neg_Cluster_1186,6.876331,343.212323,1,Dioxanes,#N/A,#N/A
HILIC-neg_Cluster_1188,2.752385,343.234935,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1190,1.125236,343.248817,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1192,6.594229,344.182205,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1196,3.140465,345.100822,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1202,3.435878,345.207442,1,Diterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1206,1.116809,345.264163,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1211,6.120342,347.113528,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1212,2.575448,347.149403,1,C19-gibberellin 6-carboxylic acids,#N/A,#N/A
HILIC-neg_Cluster_1213,3.051852,347.185983,1,Leukotrienes,#N/A,#N/A
HILIC-neg_Cluster_1217,2.531888,349.128922,1,Phenols,#N/A,#N/A
HILIC-neg_Cluster_1224,7.311902,353.071422,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1227,2.253073,353.139293,1,Coumarins and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1237,1.096337,356.281206,1,Organonitrogen compounds,#N/A,#N/A
HILIC-neg_Cluster_1243,2.547708,358.129292,1,Aporphines,#N/A,#N/A
HILIC-neg_Cluster_1244,6.583639,358.198060,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1250,6.868021,359.192060,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1256,3.035585,361.201739,1,Tertiary alcohols,#N/A,#N/A
HILIC-neg_Cluster_1258,4.096071,361.223066,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1276,5.557270,367.103063,1,Quinic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1313,7.823870,379.102490,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1314,4.425531,379.139965,1,Fatty acyl glycosides of mono- and disaccharides,#N/A,#N/A
HILIC-neg_Cluster_1315,3.508964,379.176848,1,O-glycosyl compounds,#N/A,#N/A
HILIC-neg_Cluster_1316,3.126118,379.212155,1,Fatty alcohol esters,#N/A,#N/A
HILIC-neg_Cluster_1324,1.236472,382.129506,1,Benzoquinolines,#N/A,#N/A
HILIC-neg_Cluster_1334,3.401847,385.168590,1,Pyridines and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1336,1.994685,386.160736,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1365,2.247640,392.098373,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1389,2.729455,402.153450,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1398,1.103012,405.239802,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1408,3.165898,409.235456,1,1-acylglycerol-3-phosphates,#N/A,#N/A
HILIC-neg_Cluster_1413,10.262870,412.103452,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1418,7.667315,413.162840,1,Benzopyrans,#N/A,#N/A
HILIC-neg_Cluster_1435,1.108884,417.338194,1,"Trihydroxy bile acids, alcohols and derivatives",#N/A,#N/A
HILIC-neg_Cluster_1439,3.066685,419.134500,1,Flavonoid glycosides,#N/A,#N/A
HILIC-neg_Cluster_1441,2.943663,419.256670,1,"1-acyl-sn-glycerol-2,3-cyclic-phosphates",#N/A,#N/A
HILIC-neg_Cluster_1446,2.794428,422.267534,1,Acyl carnitines,#N/A,#N/A
HILIC-neg_Cluster_1449,2.810281,424.246596,1,1-acyl-sn-glycero-3-phosphoethanolamines,#N/A,#N/A
HILIC-neg_Cluster_1467,3.495728,431.316094,1,Vitamin D and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1478,3.371517,434.290574,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1515,1.083131,447.383576,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1546,1.095422,457.327529,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1550,1.091755,459.346847,1,Ergosterols and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1555,6.651300,461.327079,1,"Tetrahydroxy bile acids, alcohols and derivatives",#N/A,#N/A
HILIC-neg_Cluster_1560,3.204141,462.267906,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1569,1.090403,463.378448,1,1-monoacylglycerols,#N/A,#N/A
HILIC-neg_Cluster_1588,7.520358,469.226189,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1602,3.234849,473.276580,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1605,1.126085,473.326413,1,Triterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1612,3.191267,476.278159,1,1-acyl-sn-glycero-3-phosphoethanolamines,#N/A,#N/A
HILIC-neg_Cluster_1613,6.862957,477.249098,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1617,6.827225,479.264627,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1632,3.175257,483.276186,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1639,7.200059,485.221477,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1645,4.059838,487.273092,1,Withanolides and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1646,4.338091,487.342636,1,Triterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1659,1.138608,493.353248,1,Brassinolides and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1664,3.149803,495.309868,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1671,3.395482,497.293715,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1711,1.224668,519.368755,1,Cycloartanols and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1724,3.852495,524.301393,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1729,6.983333,526.247660,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1736,3.098152,530.310961,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1745,2.870432,537.318803,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1760,1.114536,543.353290,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1780,1.167395,561.363595,1,Menthane monoterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1792,6.729170,573.451928,1,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1804,3.237178,587.501595,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1805,7.616845,589.302913,1,Tetrapyrroles and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1813,6.968563,593.333727,1,Tetrapyrroles and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1820,3.335450,601.481117,1,Eicosanoids,#N/A,#N/A
HILIC-neg_Cluster_1823,3.332849,603.495999,1,"1,3-diacylglycerols",#N/A,#N/A
HILIC-neg_Cluster_1824,7.007955,605.297876,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1832,1.081112,614.536342,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1837,6.802476,623.344231,1,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1846,3.391231,673.540698,1,#N/A,#N/A,#N/A
HILIC-pos_Cluster_0023,6.121464,105.069864,1,Styrenes,#N/A,#N/A
HILIC-pos_Cluster_0034,3.131533,113.034493,1,Pyrimidines and pyrimidine derivatives,#N/A,#N/A
HILIC-pos_Cluster_0043,4.535954,116.070528,1,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-pos_Cluster_0047,8.430625,118.086158,1,Organonitrogen compounds,#N/A,#N/A
HILIC-pos_Cluster_0056,6.119723,122.096252,1,m-Xylenes,#N/A,#N/A
